JAHR;KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
2023;49;BGL;I;0;0;0;0;3;3
2023;49;BGL;N;90;0;1;1;39;118
2023;49;KTN;I;3;0;0;0;6;8
2023;49;KTN;N;117;5;4;4;86;195
2023;49;NÖ;I;12;0;0;0;6;17
2023;49;NÖ;N;266;12;8;4;161;411
2023;49;OÖ;I;11;1;0;1;10;20
2023;49;OÖ;N;284;14;6;9;187;465
2023;49;SBG;I;4;2;0;0;7;12
2023;49;SBG;N;116;1;6;0;63;176
2023;49;ST;I;11;1;0;0;9;20
2023;49;ST;N;255;30;2;2;191;451
2023;49;T;I;1;0;2;0;12;14
2023;49;T;N;112;2;2;0;128;230
2023;49;V;I;2;0;0;0;3;5
2023;49;V;N;65;4;7;5;64;132
2023;49;W;I;8;3;0;1;7;16
2023;49;W;N;200;25;15;1;176;390
2023;50;BGL;I;3;0;0;0;1;4
2023;50;BGL;N;72;3;0;0;37;102
2023;50;KTN;I;2;0;0;1;1;4
2023;50;KTN;N;104;13;6;2;115;214
2023;50;NÖ;I;9;0;0;0;15;22
2023;50;NÖ;N;251;11;6;7;156;395
2023;50;OÖ;I;9;1;0;0;6;16
2023;50;OÖ;N;294;26;11;2;211;502
2023;50;SBG;I;4;1;2;2;10;18
2023;50;SBG;N;100;5;11;2;69;175
2023;50;ST;I;12;0;0;0;9;20
2023;50;ST;N;243;31;12;2;224;481
2023;50;T;I;9;0;0;0;8;14
2023;50;T;N;133;7;12;2;115;257
2023;50;V;I;2;0;0;0;4;5
2023;50;V;N;60;4;16;6;55;124
2023;50;W;I;11;1;1;1;21;33
2023;50;W;N;245;36;21;6;195;466
2023;51;BGL;I;2;0;0;0;1;3
2023;51;BGL;N;54;9;2;0;48;105
2023;51;KTN;I;3;0;1;0;7;11
2023;51;KTN;N;105;24;11;2;88;214
2023;51;NÖ;I;5;4;0;1;3;13
2023;51;NÖ;N;247;27;9;0;161;409
2023;51;OÖ;I;12;1;0;0;9;20
2023;51;OÖ;N;260;50;22;1;216;495
2023;51;SBG;I;8;2;0;0;7;15
2023;51;SBG;N;102;6;4;3;81;178
2023;51;ST;I;7;2;0;1;12;20
2023;51;ST;N;237;36;11;2;228;490
2023;51;T;I;4;1;0;0;5;10
2023;51;T;N;109;20;22;3;127;263
2023;51;V;I;2;1;0;1;4;8
2023;51;V;N;49;8;15;9;45;121
2023;51;W;I;15;6;2;2;18;38
2023;51;W;N;206;55;44;4;191;463
2023;52;BGL;I;4;0;0;0;2;5
2023;52;BGL;N;60;4;4;0;56;110
2023;52;KTN;I;1;1;0;0;1;3
2023;52;KTN;N;96;29;13;2;133;253
2023;52;NÖ;I;9;1;0;1;5;16
2023;52;NÖ;N;218;47;10;6;209;456
2023;52;OÖ;I;9;6;0;1;15;28
2023;52;OÖ;N;198;85;52;5;220;525
